Question,Correct Answer,Option A,Option B,Option C,Option D
Which team won the gold medal in men's Kabaddi at the 2018 Asian Games?,Iran,Iran,South Korea,India,Bangladesh
Who partnered Rohan Bopanna in his Tennis Doubles Gold medal at the 2018 Asian Games?, Divij Sharan,Ramkumar Ramanathan,Prajnesh Gunneswaran, Divij Sharan, Sumit Nagal
Which of the following is of the highest nutritive value?,Soyabean,Maize,Arhar,Groundnut,Soyabean
Cow milk is a rich source of which vitamin?,Vitamin B,Vitamin A,Vitamin B,Vitamin C,Vitamin D
 The first synthetic fibre made by man was,Nylon,Polyester, Rayon,Terrycloth,Nylon
 Which variety of Glass is heat resistant?,Pyrex Glass,Pyrex Glass, Flint Glass,Hard Glass,Soft Glass
Which of the following is used as a coolant in nuclear reactors?,Liquid Sodium,Cadmium,Graphite,Heavy water,Liquid Sodium
 What kind of animal is Bhin Bhin in the official mascot of the 2018 Asian Games?,Greater Bird of Paradise,Greater Bird of Paradise,Rhinoceros,Deer,Komodo Dragon
" In which province of Indonesia is the city of Palembang, which co-hosted the games located?",South Sumatra,South Sumatra,West Sumatra,East Java, Central Java
From which city did the torch relay for the 2018 Asian Games begin on 15 July 2018?,New Delhi,Incheon,Hangzhou,New Delhi,Olympia
Who won the Femina Miss Grand India 2019 title?, Shivani Jadhav, Shreya Shanker, Shivani Jadhav,Sanjana Vij,Anukreethy Vas
Zuzana Captiva was sworn in as the first female president of which country?,Slovakia,Slovakia,Poland,Serbia,Bulgaria
"As per the Global Peace Index 2019, what is the position of India?", 141,92,63,122, 141
Which is the host country of the Intersessional meeting of Kimberley Process (KP)?,India,Japan,India, Denmark,Israel
 Who chaired the fifth Governing Council Meeting of NITI Aayog?,Narendra Modi,Nirmala Sitharaman,Ram Nath Kovind,Amit Shah,Narendra Modi
"How many members had won Sahitya Akademi's Yuva Puraskar, recently?",No,22,45,23,18
HDFC sells further __________ stake in Gruh Finance for ₹899 crore.,12/30/1899,4.22%,3.55&,2.08%,5.00%
 Name the organization which has been awarded the BBC World Service Global Champion Award.,Akshaya Patra,CharityWatch,Akshaya Patra,GiveIndia,GiveWell
Who has been declared as a 'wilful defaulter' by Kolkata-based UCO Bank?,Yashovardhan Birla, Sanju Samson,Aryaman Birla,Yashovardhan Birla,Rahul Tripathi
Who was the first Prime Minister of India?, Jawaharlal Nehru,a. Indira Gandhi,a. Narendra Modi, Jawaharlal Nehru,a. Rajiv Gandhi
What is the capital city of India?,a. New Delhi,a. New Delhi,a. Mumbai,a. Kolkata,b. Chennai
Which state is also known as the “Fruit Bowl” of India?,b. Himachal Pradesh,a. Jammu and Kashmir,b. Himachal Pradesh,c. Assam,d. Meghalaya
Who is Sachin Tendulkar?,b. Indian Cricketer,a. Indian Hockey player,b. Indian Cricketer,c. Indian Kabaddi player,d. Indian Marathon Runner
Who discovered India?,a. Vasco da Gama,a. Vasco da Gama,a. Christopher Columbus,a. James Cook,a. Willem Janszoon
Who is popularly known as the “Iron Man” of India?,a. Sardar Vallabh Bhai Patel,a. Lal Bahadur Shastri,a. Sardar Vallabh Bhai Patel,a. Mahatma Gandhi,a. Dr. B.R Ambedkar
Which is the national sport of India?,a. Hockey,a. Cricket,a. Hockey,a. Kabaddi,a. Football
Who is the current President of India?,a. Ram Nath Kovind,a. Ram Nath Kovind,a. Pranab Mukherjee,a. A. P. J. Abdul Kalam,a. Pratibha Patil
Where is Taj Mahal located in India?,No,a. New Delhi,b. Kolkata,c. Agra,d. Lucknow
Which place in India is also known as the “Land of Rising Sun”?,b. Arunachal Pradesh,a. Sikkim,b. Arunachal Pradesh,c. Karnataka,d. Gujarat
The first metal used by the man was, Copper,Iron, Copper,Aluminium,Gold
Gobar gas contains mainly,Methane,Carbon dioxide,Methane,Ethylene, Carbon monoxide
9 Which of the following is a balanced fertiliser for plants ?,Compost, Urea,Ammonia sulphate,Nitrates,Compost
Which one of the following is a fast growing tree ?, Eucalyptus,Teak, Eucalyptus,Banyan,Coconut
The study of phenomena at very low temperatures is called,cryogenics,heat transfer,morphology,crystallography,cryogenics
Superconductivity is a material property associated with,a loss of electrical resistance,cooling a substance without a phase change,frictionless liquid flow,a loss of thermal resistance,a loss of electrical resistance
If a metal can be drawn into wires relatively easily it is called,ductile,malleable,ductile,extractive, tactile
 Cystitis is the infection of which of the following?,urinary bladder,liver,urinary bladder,pancreas, lung
Which of the following is primarily composed of calcium carbonate?,Oyster Shells, Fish scales,Shark teeth,Oyster Shells,Whale bones
"Yeast, used in making bread is a",fungus,fungus,plant,bacteria,aseed
A cyclone is an engineering device that is used to,segregate particles,transport materials,segregate particles,control switching devices,model fractals
The moon is a :,Satellite,Comet,Satellite,Star,Planet
Who receives Dronacharya Award?,Sports Coaches, Scientists,Movie actors,Sports Coaches,Sportsmen
Who was the first Indian to be-elected to the British Parliament?,Dadabhai Naoroji,Dadabhai Naoroji,Mothilal Nehru,Mahathma Gandhi,Gopalakrishna Gokhale
In which year India Joined the United Nations?,5/8/1905,1954,1955,1956,1957
 A hole is made in a brass plate and it is heated. The size of the hole will, first increase and then decrease,increase,decrease, first increase and then decrease,remain unchanged
 Which language was patronised by the the rules of Delhi Sultanate?,Persian, Hindi, Arabic,Persian,Turkish
Who discovered magnetic field of electric current?,Faraday,Ampere,Faraday,Fleming,Edison
Which country leads in the production of rubber?,Malaysia,Australia,India,Malaysia, Myanmar
The Panchayat Raj is a,Three–tier System,One–tier System,Two–tier System,Three–tier System, Four–tier System
Which is the most irrigated State in India? ,Punjab,Bihar,Punjab,Andhra Pradesh,Uttar Pradesh
 Organization related to 'Red Data Book' or 'Red List' is - , I.U.C.N., U.T.E.S., I.U.C.N.,I.B.W.C.,W.W.F.
Who among the following is regarded as the leader of 'Chipko Movement'? ,Sundarlal Bahuguna,Medha Patkar, Baba Amte,Sundarlal Bahuguna,Kiran Bedi
'Montreal Protocol' is related to - ,Chlorofluorocarbon,White Tiger,Chlorofluorocarbon,Water pollution,Agriculture
What is the rank of India in silk production in the world? ,Second,First,Second,Third,Fourth
"According to Census 2011, of the total population of Madhya Pradesh the percentage of rural population is - ",3/12/1900,72.4,67.8,75.4,62.8
Which of the following terms is used in banking field?,Sedimentary,Interest rate swap, Input devices,Sedimentary,Zero Hour
Bank rate is decided by which of the following?,Reserve Bank of India,Reserve Bank of India,Government Of India,State Bank of India, Securities and Exchange Board of India
With which of following types of loans are teaser rates related?,Home loans,Home loans,Personal loans,Auto loans, Reverse mortgage loans
 Insects that can transmit diseases to human are referred to as,vectors,carriers,reservoirs,vectors,incubators
The anti-malarial drug Quinine is made from a plant. The plant is,Cinchona,Neem,Eucalyptus,Cinnamon,Cinchona
Hypertension is the term used for,Increase in blood pressure,Increase in heart rate,Decrease in heart rate, Decrease in blood pressure,Increase in blood pressure
Acute lead poisoning is also known as,Plumbism,Itai- Itai,Plumbism,Neuralgia,Byssinosis
Oral Rehydration Therapy is recommended for,Cholera,Tuberculosis,Typhoid,Tetanus,Cholera
What is the pH value of the human body?,1. 7.0 to 7.8,1. 9.2 to 9.8,1. 7.0 to 7.8,1. 6.1 to 6.3,1. 5.4 to 5.6
"Which of the following are called ""Key Industrial animals""?",1. Primary consumers,1. Producers,1. Tertiary consumers,1. Primary consumers,1. None of these
Elections to panchayats in state are regulated by,1. State Election Commission,1. Gram panchayat,1. Nagar Nigam,1. Election Commission of India,1. State Election Commission
" Which of the following Himalayan regions is called ""Shivalik's""?",1. Outer Himalayas,1. Upper Himalayas,1. Lower Himalayas,1. Outer Himalayas,1. Inner Himalayas
Forming of Association in India is,1. Fundamental Right.,1. Legal Right,1. Illegal Right,1. Natural Right,1. Fundamental Right.
The Samkhya School of Philosophy was founded by,1. Kapila,1. Gautam Buddha,1. Mahipala,1. Gopala,1. Kapila
Pustaz grasslands are situated at?,1. Hungary,1. South Africa,1. China,1. Hungary,1. USA
Right to emergency medical aid is a,4. Fundamental Right.,1. Legal Right,2. Illegal Right,3. Constitutional Right,4. Fundamental Right.
The young one of Kangaroo is called,Joey,Joey,  Kitten,   Puppy, Tadpole
Who was the inventor of the printing press?,Johannes Gutenberg,Johannes Gutenberg, John Braid, Wright Brothers,Nikola Tesla
 Name the largest country in the world in terms of area ,Russia,  India,Russia,America,Britain
Who is the author of the Harry Potter books?,JK Rowling,JK Rowling, Amrita Pritam,Ruskin Bond,Khushwant Singh
 Name the smallest bird in the world, Bee Hummingbird,Peacock, Crow, Ostrich, Bee Hummingbird
Who was the inventor of the steam engine?,   James Watt,   James Watt,Thomas,Stephenson, Graham Bell
 Tell us where Mount Everest is situated,Nepal,Philippines,China,India,Nepal
Do you know where the world's largest rainforest is located?,Amazon rainforest,Amazon rainforest,Sahara,Congo ,None of the above 
Name the fastest land animal, Cheetah,  Dog, Cheetah,Cat,Cow
One of the commonly seen reptiles is,Lizard,Snake,Cobra,Lizard,Crocodile
Who was the inventor of the Light bulb?, Thomas Edison, Thomas Edison, James Watt, Stephenson,None of the above
The two holes in our nose that help us breathe,Nostrils, Skin,Nostrils,Mouth,None of the above
Name the biggest planet in the solar system,Jupiter,Venus, Mercury,Pluto,Jupiter
Name the hottest planet in the solar system,Venus,Venus,Pluto, Mercury,Diamond
 What is the name of the largest moon of Saturn?,Titan,Mercury,Venus,Diamond,Titan
Tell the name of the instrument that is used to measure the wind's speed,Anemometer,Anemometer,Barometer,Thermometer,None of the above
Tell us the biggest part of the human brain,Cerebrum,Grey matter,White matter,Cerebrum,None of the above
Animals who feed themselves on meat are called as, Carnivorous, Carnivorous,Herbivorous,Omnivorous,None of the above
How many bones does a newborn baby have?, 300,400, 300, 1200,1900
Name the largest ocean in the world, Pacific Ocean, Pacific Ocean,Arctic Ocean,Atlantic Ocean,  Indian Ocean
"If you multiply any number by zero, what answer will you get",  0,  0,1,2,3
Tell us about the largest four digit number,5/17/1927, 999,9999,99,None of the above
How many kilolitres are there in a liter?,12/30/1899,0.001,1,2,3
Tell us about an angle that falls between 90 and 180 degrees,Obtuse,Right,Obtuse,Ninety degree,No angle
What will you get if a number is multiplied by one?,The same number,The same number,1,2,3
Calculate:555x10, 5550,2350, 5550,2650,2750
Complete it 425+30=____________+425,1/29/1900,425,30,445,None of the above
Multiply 55x25,10/6/1903,1600,1375,1225,1425
Add: 425+0=,2/28/1901,425,825,0,None of the above
The weight of a person is measured in?,Kg,Kg,M,  L,Ml
Name the first PM of India,Jawaharlal Nehru,Narendra Modi,Jawaharlal Nehru, Subash Chandra Bose, Mahatma Gandhi
Where is Taj Mahal located in India?,Agra,Agra,Maharashtra,Goa,None of the above
Name the place known as the land of the rising sun -=,Arunachal Pradesh,Goa,UP,MP,Arunachal Pradesh
 Name the current chief minister of Maharashtra, Eknath Shinde,Thackeray, Narendra Modi, Eknath Shinde,None of the above
Sachin Tendulkar is the famous,Cricket player,Cricket player,Football player,Hockey player, Badminton player
Right against exploitation is a ________. ,1. Fundamental Right ,Constitutional Right ,2. Law ,1. Fundamental Right ,2. Legal Right 
On which date did the NITI Aayog replace the Planning Commission? ,4. 1st of January 2015  ,1st of January 2017 ,2. 1st of January 2014 ,3. 1st of January 2016 ,4. 1st of January 2015  
English Education Act 1835 was based on report of which commission?,1. Macaulay’s Minute,Henry Colebrooke,1. Woods Despatch,1. Macaulay’s Minute,1. Thomas Babington
Who was the President of the Congress Session held in Calcutta in 1906? ,2. Dadabhai Naroji ,Gopal Krishna Gokhale ,2. Dadabhai Naroji ,3. Bal Gangadhar Tilak ,4. Lala Lajpat Rai
"In which form of government, rulers are directly elected by the people of the country? ",Democracy ,Democracy ,1. Dictatorship ,2. Autocracy ,3. Republic
"In which of the following countries, Presidential System of Government does not exist? ",4. India,USA ,2. Russia ,3. Turkey ,4. India
The 74th Amendment Act 1992 added which of the following parts to the Indian Constitution? ,2. IX A ,IX C ,2. IX A ,3. IX B ,4. IX
Who is the Supreme Commander of the defence forces of India? ,No,President ,2. Chief of Defence ,3. Prime Minister ,4. Defence Minister
Raj Ghat is the memorial of ________. ,No,Indira Gandhi ,2. Rajiv Gandhi ,3. Mahatma Gandhi ,4. Jawaharlal Nehru
Which mission of NASA brought first human to moon? ,2. Apollo program ,Juno program ,2. Apollo program ,3. Gemini Program ,4. Mercury Program
The book ‘Timeless Laxman’ is based on life of which of the following person?,1. R.K. Laxman,1. O.P. Laxman ,1. R.K. Narayan ,1. V.V.S. Laxman ,1. R.K. Laxman
Usain Bolt is associated with which sport? ,4. Athletics,1. Gymnastics ,2. Boxing ,3. Canoe Sprint ,4. Athletics
International Kabaddi Federation was founded in which year?,2. 2004,1. 2015,2. 2004,3. 1950,4. 2010
Wings of Fire’ is an autobiography of ________. ,1. Dr. A. P. J. Abdul Kalam ,1. Dr. A. P. J. Abdul Kalam ,2. Mahatma Gandhi ,1. Jawaharlal Nehru ,2. Bhagat Singh
 National Emblem of India is taken from Mauryan Pillar located at ________. ,1. Sarnath ,1. Sarnath ,2. Amravati ,3. Delhi ,4. Meerut
Which central agency regulates and monitors housing sector in India?,1. RERA ,1. RERA ,2. RBI ,3. LIC ,4. SEBI
Who is the author of ‘Black Beauty’? ,No,1. Charles Dickens ,2. Carlo Collodi ,3. Mark Twain ,4. Anna Sewell
Who was the first Indian to win the All England Badminton Championship?,1. Prakash Padukone ,1. Prakash Padukone ,2. Saina Nehwal ,3. Srikanth Kidambi ,4. P.V. Sindhu
Which among the following is the largest among the four ancient civilizations? ,4. Indus Valley Civilization,1. Mesopotamia ,2. China ,3. Egypt ,4. Indus Valley Civilization
Who among the following Mughal Emperors was called as Darvesh or a Zinda Fakir? ,1. Aurangzeb ,1. Aurangzeb ,2. Shah Jahan ,3. Humayun ,4. Babur
Who was the first Mughal Emperor in India? ,2. Babar ,1. Akbar ,2. Babar ,3. Shah Jahan ,4. Humayun 
Kanthuri Festival is celebrated in which state of India? ,4. Tamil Nadu,1. Karnataka ,2. Kerala ,3. Telangana ,4. Tamil Nadu
 In which of the following states is the famous Vaishno Devi Shrine located? ,1. Jammu & Kashmir ,1. Jammu & Kashmir ,2. Uttar Pradesh ,3. Himachal Pradesh,4. Madhya Pradesh
"One of the most important music forms of Uttarakhand, ________ was originally performed in royal courts.",3. Thadya,1. Maand,2. Somar,3. Thadya,4. Baryi
Which among the following famous places is called the “Palace of Windows”,4. Hawa Mahal,1. Taj Mahal,2. Leh Palace ,3. Victoria Memorial ,4. Hawa Mahal
_________ dance is performed only by the unmarried girls of the Malwa community. ,2. Phulpati ,1. Kaksar ,1. Saila ,2. Phulpati ,3. Karma
 Tropic of Cancer does NOT pass through which of the following Indian state? ,4. Maharashtra,1. Mizoram ,2. Gujarat ,3. Tripura ,4. Maharashtra
 Which is the largest lake in the world in terms of surface area? ,4. Caspian Sea,1. Lake Huron ,2. Lake Tanganyika ,3. Lake Superior ,4. Caspian Sea
The Guindy National Park is located in ________. ,2. Tamil Nadu ,1. Telangana ,2. Tamil Nadu ,3. Andhra Pradesh ,4. Himachal Pradesh
Which of the following is a block mountain?,2. Satpura ,1. Purvanchals ,2. Satpura ,3. Himalayas ,4. Mahabharat range 
In which of the following states is the Similipal Biosphere Reserve located?,2. Odisha ,1. West Bengal ,2. Odisha ,3. Maharashtra ,4. Uttar Pradesh
Piece of land surrounded by water on 3 sides is known as ______. ,2. Peninsula ,1. Strait ,1. Lagoon ,2. Peninsula ,3. Bay
Where was India's first women's university established ?,Mumbai,Delhi,Kolkata,Mumbai,Bangalore
Who was the first Indian woman to climb Mount Everest ?,Bachendri Pal,Kalpana Chawla,Sucheta Kriplani,Bachendri Pal,Razia Sultan
Who was the first woman IPS of India ?,(D) Kiran Bedi,Sarojini Naidu,(B) Mother Teresa,(C) Vimala Devi,(D) Kiran Bedi
Who was the first woman governor of India ?,Sarojini Naidu,Sarojini Naidu,(B) Pratibha Patil,(C) Mamata Banerjee,(D) Sushmita Sen
Who was the first woman judge in the Supreme Court ?,M. Fatima Biwi,Uma Bharti,M. Fatima Biwi, Karnam Malleswari,Sushmita Sen
Which state has three capitals?,Andhra Pradesh,Odisha,Punjab,Jammu and Kashmir,Andhra Pradesh
Kavaratti is the capital of which State or Union territory?, Lakshadweep,Andhra Pradesh,Karnataka, Lakshadweep, Andaman and Nicobar Islands
Which is the capital of Odisha, Bhubaneshwar,Cuttack, Bhubaneshwar,Mayurbhanj,None of these
Which capital is known as “Summer Capital”?,Srinagar,Jaipur,Bhopal,Srinagar,Kolkata
What is the Capital of Sikkim?,Gangtok,Itanagar,Gangtok,Imphal,None of the above
What is the Capital of Gujarat?,Gandhinagar,Ahemdabad,Surat,Gandhinagar,Rajkot
Which of the following is the capital of ‘God’s own country ‘?, Thiruvananthapuram,Nagpur,Mumbai, Thiruvananthapuram,Ranchi
 Which capital is the center of India?,Nagpur,Raipur,Patna,Delhi,Nagpur
Which capital is known as the ‘Tiger Capital of India’?,Nagpur,Bhopal,Ranchi,Nagpur,Gandhinagar
Port Blair is the capital of which Union Territory?,Andaman and Nicobar Islands,Lakshadweep,Andaman and Nicobar Islands,Daman and Diu,Puducherry
National Income estimates in India are prepared by, Central statistical,Planning Commission,Reserve Bank of India, Central statistical,Indian statistical Institute
MS-Word is an example of _____,Application software,An operating system,A processing device,Application software,An input device
The staple food of the Vedic Aryan was,Milk and its products,Barley and rice,Milk and its products,Rice and pulses,Vegetables and fruits
"Ctrl, Shift and Alt are called .......... keys.",modifier,modifier, function,alphanumeric,adjustment
The tropic of cancer does not pass through which of these Indian states ?,Odisha,Madhya Pradesh,West Bengal,Rajasthan,Odisha
Fathometer is used to measure,Ocean depth, Earthquakes,Rainfall,Ocean depth,Sound intensity
The purest form of iron is ,wrought iron,wrought iron,steel,pig iron,nickel steel
Which of the following is NOT a property of bases?,They turn blue litmus red,They react with acids and neutralise them,They turn red litmus blue,They turn blue litmus red,They have bitter taste
" National Sports Day in India, on which among the following dates?", August 29th,July 29th, August 29th, March 29th,April 29th
In which year Mission Olympics in Army programme was launched?, 2001,1999,2000, 2001,2002
Which Football Club was designated as the FIFA Club of the Century in 2000?,Real Madrid,Manchester United,Liverpool,Real Madrid, Arsenal
 Who captained India to its first-ever Cricket World Cup victory in 1983?,Kapil Dev,Kapil Dev,Sunil Gavaskar,Sachin Tendulkar,Sourav Ganguly
Which Indian badminton player became the first Indian to win an Olympic medal in the sport?,Saina Nehwal,Kidambi Srikanth,PV Sindhu,Saina Nehwal,Prakash Padukone
Which city hosted the iconic 2011 Cricket World Cup final between India and Sri Lanka?,Mumbai,Mumbai,Kolkata,Chennai,Delhi
Who was the first Indian cricketer to score a double century in ODI?,Sachin Tendulkar,Sunil Gavaskar,Sachin Tendulkar,Virender Sehwag,Kapil Dev
Who is the only Indian male boxer to win a medal at the Olympics?,Vijender Singh ,Manoj Kumar,Mary Kom,Vikas Krishan Yadav,Vijender Singh 
Which Indian chess player holds the prestigious title of Grandmaster?,Viswanathan Anand,Viswanathan Anand,Harikrishna Koneru,Pentala Harikrishna,Adhiban Baskaran
Which Indian paralympic athlete won the gold medal in men's discus throw F64 at the Tokyo Paralympics 2020?,Sumit Antil ,Mariyappan Thangavelu,Singhraj Adhana,Sumit Antil ,Devendra Jhajharia
 Who is the current president of the Board of Control for Cricket in India (BCCI)?,Roger Binny,Sourav Ganguly,Roger Binny,Rahul Dravid,Jay Shah
" Which Indian athlete is known as the ""Flying Sikh"" for his exceptional speed in athletics?",Milkha Singh,PT Usha,Manoj Tiwari,Neeraj Chopra,Milkha Singh
Who is the youngest Indian woman to climb Mount Everest?,Malavath Poorna,Arunima Sinha,Malavath Poorna,Santosh Yadav,Bachendri Pal 
The term “Tee” is used commonly in which among the following sports?,Golf,Tennis,Polo,Golf, Racing
Which among the following is the National Sports of USA?,Baseball,Bowling,Baseball,Table Tennis,Rugby
Which among the following team was first winner of “World Cup Hockey” ?,Pakistan,Spain,France,UK,Pakistan
Who among the following was known as Flying Sikh?,Milkha Singh,Milkha Singh,Harbhajan Singh,Yuvaraj Singh,Gurbachan Singh
“National Football Museum” which keeps FIFA collection is located in which country?,England,Switzerland,Canada,England,France
Which of the following trophies is related with the game of ‘Football’?,Merdeka Cup,Mumbai Gold Cup,Everest Cup,Merdeka Cup,V.C.C. Cup
Where are the headquarters of International Hockey Federation located?,Lausanne,Lausanne,Berlin,Amsterdam, London
Where are the headquarters of International Paralympic Committee?,Germany,Germany,Bulgaria,Spain,England
What is the motto of International Olympic Committee?,"Faster, Higher, Stronger","Faster, Higher, Stronger",Just Do it,More than Passion,We Together
Which is the main decision-making body of FIFA?,FIFA Council,FIFA Congress, FIFA Ethics Committee,FIFA Council,The Disciplinary Committee
The tradition of the “Olympic torch relay” was started in which Olympic Games?,"1936 Summer Olympics, Berlin","1928 Summer Olympics, Amsterdam","1936 Summer Olympics, Berlin","1908 Summer Olympics, London","1948 Summer Olympics, London"
Which was the first Summer Olympic Game which allowed females to compete at track and field athletics?,"1928 Summer Olympics, Amsterdam","1920 Summer Olympics, Antwerp","1924 Summer Olympics, Paris","1928 Summer Olympics, Amsterdam","1932 Summer Olympics, Los Angeles"
Who is the father of the modern Commonwealth Games?,Melville Marks Robinson,Melville Marks Robinson,Bruce Robertson,Jacques Rogge,Juan Antonio Samaranch
Which country hosted the most number of the Commonwealth Games?,Australia,New Zealand,Canada,Australia,United Kingdom
"In which year, the first Commonwealth Youth Games were held?",6/22/1905,1996,2000,2004,2008
Who won the first-ever gold medal in the history of the Commonwealth Games?,Gordon Smallacombe,Roger Bannister,John Landy,Gordon Smallacombe,John Cooper
Who is the first recipient of the “most valuable player (MVP)” award of the Asian Games?,Koji Ito,Koji Ito,Kosuke Kitajima,Park Tae-hwan,Lin Dan
Who won the “most valuable player (MVP)” award in the 2018 Asian Games?,Rikako Ikee,Lin Dan,Rikako Ikee,Kosuke Hagino,Koji Ito
"In which year, the first-ever cricket test match took place?",2/19/1905,1875,1877,1879,1881
Which state of India houses the Greenfield International Stadium?,Kerala,Andhra Pradesh,Telangana,Kerala,Tamil Nadu
"In which year, the first Limited over International (One Day International (ODI)) cricket match was held?",5/24/1905,1971,1972,1973,1974
Which country was the champion of the 2019 Cricket World Cup?,England,New Zealand,Australia,England,Pakistan
Who got the most runs in the 2019 Cricket World Cup?,Rohit Sharma,Kane Williamson,Shakib Al Hasan,David Warner,Rohit Sharma
Who got the most runs in the first Women’s Cricket World Cup held in 1973?,Enid Bakewell,Lynne Thomas,Jackie Potter,Enid Bakewell,Louise Browne
How many team members are there on each side of a Kabaddi match?,1/6/1900,5,7,9,11
Largest tennis stadium in the world Arthur Ashe Stadium is located in which country?,United States of America,Netherlands,United States of America,France,Australia
Which sport’s tournament is known as “ATP Tour”?,Tennis,Table Tennis,Taekwondo,Triathlon,Tennis
Which sport’s competition is known as the “ATP Challenger Tour”?,Tennis,Table Tennis,Taekwondo,Tennis,Triathlon
Who was “Harry Hopman”?,An Australian tennis player,An Australian cricket player,An Australian golf player,An Australian polo player,An Australian tennis player
Which badminton player won the BWF World Championships most number of times in the women’s singles category?,Carolina Marin, Lin Ying,Gao Ling,Carolina Marin,Yu Yang
Who became the first Indian badminton player to win the All England Open Badminton Championships?,Prakash Padukone,Parupalli Kashyap,Pullela Gopichand,Chetan Anand,Prakash Padukone
Which of the following won the gold medal in women’s doubles in the 2019 BWF World Championships?,Mayu Matsumoto and Wakana Nagahara, Yuki Fukushima and Sayaka Hirota,Greysia Polii and Apriyani Rahayu,Mayu Matsumoto and Wakana Nagahara,Du Yue and Li Yinhui
Who is the all-time leader for the most Olympic medals in badminton?,Gao Ling,Lin Dan,Fu Haifeng,Gao Ling,Zhao Yunlei
Which of the following won the gold medal in badminton men’s doubles in the 2016 Summer Olympics?,Zhang Nan and Fu Haifeng,Zhang Nan and Fu Haifeng,Goh V Shem and Tan Wee Kiong,Chris Langridge and Marcus Ellis,Mathias Boe and Carsten Mogensen
"In which year, the FIBA Basketball World Cup started for the first time?",5/3/1905,1949,1950,1951,1952
Headquarters of the International Table Tennis Federation is located in which country?,Switzerland,Spain,Belgium,Switzerland,Sweden
Which sport’s competition is the “China Vs World Challenge”?,Table Tennis,Tennis,Badminton,Table Tennis,Squash
Which country won the most number of medals in golf at the Asian Games?,South Korea,Japan,South Korea,Philippines,India
Who won the gold medal in golf men’s individual at the 2018 Asian Games?,Keita Nakajima,Keita Nakajima,Oh Seung-taek,Jin Cheng,Takumi Kanaya
What is Saikhom Mirabai Chanu famous for?,As an Indian weightlifter,As an Indian boxer,As an Indian wrestler,As an Indian weightlifter,As an Indian archer
Which country won the gold medal in women’s team archery at the 2016 Summer Olympics?,South Korea,Taiwan,Russia,South Korea,China
The sport of handball was first played at which Summer Olympics?,1936 Summer Olympics,1936 Summer Olympics,1940 Summer Olympics,1944 Summer Olympics,1948 Summer Olympics
Who formulated the first modern set of rules for the game of handball?, Holger Nielsen,James Naismith, Holger Nielsen,William G.Morgan,Adolf Schmal
The “Ligat Ha’Al” is the top professional handball league of which country?,Israel,Greece,Israel,Jordan,Cyprus
The “Liga Asobal” is the premier professional handball league of which country?,Spain,Portugal,France,Italy,Spain
Which country holds the record of most numbers of gold medals won in women’s handball at the Summer Olympics?,Denmark,Russia,Norway,South Korea,Denmark
Who is known as the father of Gymnastics?,Friedrich Ludwig Jahn,Friedrich Ludwig Jahn,William G. Morgan,James Naismith,George Hancock
"In which city, the headquarters of Sports Academy of India (SAI) are situated ?",Delhi,Delhi,Mumbai,Bengaluru,Chennai
Who has been selected by the Badminton World Federation (BWF) for the Lifetime Achievement Award this year?,Prakash Padukone,Saina Nehwal,Carolina Marine,Prakash Padukone,Tawfiq Hidayat
Who became the youngest ATP 500 champion?,Carlos Alcarazu,John Newcomb,Rod Laver,Jimmy Connors,Carlos Alcarazu
Ranji Trophy is related to the?,Cricket,Hockey,Cricket,Football,None of the above
"Veteran author, football journalist, and sports commentator ___________ has passed away due to health complications.",Novi Kapadia,Vikram Kapadia,Rohan Kapadia,Novi Kapadia,Deepak Kapadia
Who among the following has won the Vienna Tennis Open or Erst Bank Open 2021?,Alexander Zverev,Roger Federer,Rafael Nadal,Novak Djokovic,Alexander Zverev
Who among the following has become the first Indian player to play in the Australian Big Bash League?,Unmukt Chand,Rajat Bhatia,Praveen Tambe,Unmukt Chand,Ajit Chandila
Who among the following has been ranked among the top 10 highest-paid women players of Forbes in the year 2021?,Naomi Osaka,Venus Williams,Simone Biles,PV Sindhu,Naomi Osaka
Who has been appointed as the permanent CEO of the International Cricket Council (ICC)?,Geoff Allardyce,Geoff Allardyce,John Felix,Mark Harris,David Lizard
Who has been appointed as the CEO of the International Cricket Council?,Manu Sawhney,Manu Sawhney,Geoff Allardyce,Imran Khawaja,Greg Barkley
Major Rajyavardhan Singh Rathore won which medal in shooting in the 28th Olympic Games?,Silver,Gold,Silver,Bronze,Consolation medal
"In Triple Jump, the white flag indicates:",trial is valid,trial is valid,trail is a failure,trail with wind support, allow to trial
"In hockey, what is the meaning if the umpire signals by pointing both arms horizontally toward the centre of the field?",Goal scored,Goal scored,Timing,Ball out of play,Bully
Which of the following off-spinner from Australia has completed 400 wickets in his career in Test cricket?,Nathan Lyon,James Pattinson,Josh Hazlewood,Nathan Lyon,Adam Zampa
Which tennis team won the Davis Cup tennis tournament 2021 held in Madrid?,Russia,Croatia,Russia,Denmark,India
IPL team Kolkata Knight Riders has appointed who among the following as its new bowling coach?,Bharat Arun,Rahul Dravid, Sachin Tendulkar,Bharat Arun,Wasim Akram
"Recently, the new IPL franchise Ahmedabad has announced its name?",Gujarat Titans,Gujarat Titans,Gujarat Lions,Gujarat Tigers,Gujarat Paltan
________ has achieved the milestone of taking 100 wickets in 22 Test matches away from home.,Jasprit Bumrah,Bhuvneshwar Kumar,Mohammed Shami,Jasprit Bumrah,Ravichandran Ashwin
